COD_DANE,NOMBRE_MPI,DPTO_CNMBR,area_municipio_ha,bosque_base_ha,area_redd_ha,n_proyectos,anio_primer_proyecto,area_proyecto_max_ha,tratado,dosis_area_cruda,dosis_bosque_cruda,desborda_area,desborda_bosque,dosis_area,dosis_bosque,umbral_dosel,truncada,fecha_generacion
08001,BARRANQUILLA,ATLÁNTICO,15412.75513310188,741.6293927529547,400000.0,1,2024.0,400000.0,1,25.952530650469,539.3529489374548,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
68464,MOGOTES,SANTANDER,48301.31531205175,33497.43884218339,1075348.0,1,2015.0,1075348.0,1,22.263327469504496,32.102394605936624,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
91405,LA CHORRERA,AMAZONAS,1264144.9089981967,1267568.6451889868,3663485.0,1,2016.0,3663485.0,1,2.897994505157815,2.890166945912264,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
27001,QUIBDÓ,CHOCÓ,350864.4569505322,344621.4278481817,1000000.0,1,2016.0,1000000.0,1,2.8501034521743773,2.901734828980328,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
27495,NUQUÍ,CHOCÓ,70465.16084252311,69984.14615086731,162314.0,1,2014.0,162314.0,1,2.303464549846731,2.319296711145035,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
27600,RÍO QUITO,CHOCÓ,69933.72444541953,69053.02726946237,113492.0,1,2019.0,113492.0,1,1.622850790516326,1.643548508845608,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
27205,CONDOTO,CHOCÓ,46788.62218438783,45650.78041676434,65452.0,1,2019.0,65452.0,1,1.3988870999890153,1.4337542403976966,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
27361,ISTMINA,CHOCÓ,188107.20761536635,185442.8602519342,255220.0,1,2024.0,255220.0,1,1.3567794835478237,1.3762729913315064,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
52490,OLAYA HERRERA,NARIÑO,100466.8271161822,87037.86968684795,117999.0,1,2021.0,117999.0,1,1.1745070824576074,1.3557202218361568,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
97511,PACOA,VAUPÉS,1394684.2185101395,1395088.9797966774,1627439.0,2,2017.0,814948.0,1,1.1668870833990643,1.1665485310027937,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
91669,PUERTO SANTANDER,AMAZONAS,1469198.551601675,1458051.983873479,1492307.0,1,2022.0,1492307.0,1,1.0157286082082866,1.0234936864428652,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
76109,BUENAVENTURA,VALLE DEL CAUCA,630098.6193580008,607536.2050272587,634310.0,3,2013.0,490542.0,1,1.0066836849226715,1.0440694640931565,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
