COD_DANE,NOMBRE_MPI,DPTO_CNMBR,cohorte,att_simple_sin_i,att_bal_sin_i,influencia_simple,influencia_bal
05480,MUTATÁ,ANTIOQUIA,2013,-174.39090122555973,-211.53972691226477,-250.59988689277668,-253.35265272356128
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,2018,-280.6231146760262,-265.3519392824623,-144.3676734423102,-199.54044035336375
99773,CUMARIBO,VICHADA,2013,-330.952894050184,-347.2361215202364,-94.03789406815241,-117.65625811558965
52835,SAN ANDRÉS DE TUMACO,NARIÑO,2013,-300.042224618999,-354.5529784587679,-124.94856349933741,-110.33940117705816
27800,UNGUÍA,CHOCÓ,2018,-508.6570814063293,-562.8204101176193,83.66629328799291,97.92803048179326
95001,SAN JOSÉ DEL GUAVIARE,GUAVIARE,2018,-342.0987952252726,-369.4156747029465,-82.89199289306379,-95.47670493287956
95025,EL RETORNO,GUAVIARE,2016,-486.58560909645666,-547.3185449349149,61.594820978120254,82.4261652990889
76109,BUENAVENTURA,VALLE DEL CAUCA,2013,-373.2991575095329,-409.0334241717887,-51.69163060880351,-55.858955464037365
27050,ATRATO,CHOCÓ,2018,-381.8679220230428,-410.9188568066282,-43.1228660952936,-53.97352282919786
50590,PUERTO RICO,META,2019,-457.51250338939633,-516.4395285474463,32.52171527105992,51.5471489116203
27372,JURADÓ,CHOCÓ,2016,-463.5477299136019,-510.391340710992,38.556941795265516,45.49896107516594
27150,CARMEN DEL DARIÉN,CHOCÓ,2014,-460.3108149519047,-497.0529729623928,35.320026833568306,32.160593326566755
97001,MITÚ,VAUPÉS,2018,-447.61755028594183,-495.1564123719582,22.62676216760542,30.26403273613215
27205,CONDOTO,CHOCÓ,2019,-408.29591508795403,-440.108245765117,-16.694873030382382,-24.78413387070907
27025,ALTO BAUDÓ,CHOCÓ,2018,-441.94712033765626,-488.34367933709024,16.956332219319847,23.45129970126419
91405,LA CHORRERA,AMAZONAS,2016,-408.5900718025504,-443.39003074510856,-16.400716315785985,-21.502348890717485
94001,INÍRIDA,GUAINÍA,2017,-404.83946702112354,-443.83221098429135,-20.151321097212872,-21.060168651534696
27600,RÍO QUITO,CHOCÓ,2019,-411.77345043566896,-445.5016454942119,-13.217337682667448,-19.390734141614132
27491,NÓVITA,CHOCÓ,2016,-441.3329796749603,-482.1735350139012,16.342191556623902,17.28115537807514
05134,CAMPAMENTO,ANTIOQUIA,2016,-440.1484766018183,-481.74809394263553,15.157688483481877,16.85571430680949
27077,BAJO BAUDÓ,CHOCÓ,2013,-417.0687776448842,-449.010263825578,-7.92201047345219,-15.882115810248024
41668,SAN AGUSTÍN,HUILA,2014,-444.60595572377156,-480.62526593662545,19.615167605435147,15.732886300799407
15236,CHIVOR,BOYACÁ,2014,-441.503679470353,-480.48025268799205,16.512891352016595,15.587873052166003
27160,CÉRTEGUI,CHOCÓ,2015,-439.8788546100417,-479.9295782108333,14.888066491705274,15.037198575007267
27615,RIOSUCIO,CHOCÓ,2019,-415.9385065906428,-451.9613390678981,-9.052281527693594,-12.931040567927937
27413,LLORÓ,CHOCÓ,2015,-438.61652834414025,-477.73753840650227,13.625740225803838,12.845158770676221
23672,SAN ANTERO,CÓRDOBA,2015,-437.3331135678921,-476.96849003493685,12.342325449555688,12.076110399110803
52250,EL CHARCO,NARIÑO,2015,-437.1819644007733,-476.8400511484133,12.191176282436913,11.947671512587249
68464,MOGOTES,SANTANDER,2015,-436.296570130226,-475.7342110142963,11.305782011889562,10.84183137847026
19585,PURACÉ,CAUCA,2014,-437.95903233947166,-475.54512189222436,12.96824422113525,10.652742256398312
05756,SONSÓN,ANTIOQUIA,2014,-438.780205595617,-475.1970624614063,13.789417477280608,10.304682825580244
27495,NUQUÍ,CHOCÓ,2014,-436.19602679547995,-475.172967376721,11.20523867714354,10.28058774089493
27135,EL CANTÓN DEL SAN PABLO,CHOCÓ,2015,-434.22750284124993,-473.7986412273579,9.236714722913518,8.906261591531859
19318,GUAPI,CAUCA,2017,-427.97494745364236,-473.25426203162027,2.9841593353059466,8.361882395794225
27430,MEDIO BAUDÓ,CHOCÓ,2014,-432.82943096949674,-471.6544693563127,7.83864285116033,6.762089720486642
27001,QUIBDÓ,CHOCÓ,2016,-430.0468766269181,-464.1600033081316,5.056088508581695,-0.7323763276944533
97161,CARURÚ,VAUPÉS,2017,-425.1533393088346,-464.66992967859716,0.16255119049816358,-0.22244995722888916
