COD_DANE,NOMBRE_MPI,DPTO_CNMBR,tratado,ps,fuera_soporte,ps_extremo
08001,BARRANQUILLA,ATLÁNTICO,1,7.711820000948803e-4,FALSE,TRUE
23672,SAN ANTERO,CÓRDOBA,1,0.002295258191246213,FALSE,TRUE
15236,CHIVOR,BOYACÁ,1,0.0040227212197621095,FALSE,TRUE
68464,MOGOTES,SANTANDER,1,0.01764059537834518,FALSE,FALSE
19585,PURACÉ,CAUCA,1,0.018611706376807063,FALSE,FALSE
66682,SANTA ROSA DE CABAL,RISARALDA,1,0.02212567798244683,FALSE,FALSE
05134,CAMPAMENTO,ANTIOQUIA,1,0.03345752448997447,FALSE,FALSE
05756,SONSÓN,ANTIOQUIA,1,0.03961136162474053,FALSE,FALSE
41668,SAN AGUSTÍN,HUILA,1,0.05779989306387024,FALSE,FALSE
05893,YONDÓ,ANTIOQUIA,1,0.07519269446190406,FALSE,FALSE
52490,OLAYA HERRERA,NARIÑO,1,0.07856267354098928,FALSE,FALSE
50590,PUERTO RICO,META,1,0.11748033943616064,FALSE,FALSE
27800,UNGUÍA,CHOCÓ,1,0.1362968046138528,FALSE,FALSE
91669,PUERTO SANTANDER,AMAZONAS,1,0.16164498129038754,FALSE,FALSE
52250,EL CHARCO,NARIÑO,1,0.17654063344518872,FALSE,FALSE
52835,SAN ANDRÉS DE TUMACO,NARIÑO,1,0.1785318879487782,FALSE,FALSE
27006,ACANDÍ,CHOCÓ,1,0.19698098841143025,FALSE,FALSE
05480,MUTATÁ,ANTIOQUIA,1,0.19960767484087566,FALSE,FALSE
94888,MORICHAL,GUAINÍA,1,0.2649295806217376,FALSE,FALSE
97161,CARURÚ,VAUPÉS,1,0.28217699939563096,FALSE,FALSE
27372,JURADÓ,CHOCÓ,1,0.297247984640317,FALSE,FALSE
27615,RIOSUCIO,CHOCÓ,1,0.30173948849051785,FALSE,FALSE
27495,NUQUÍ,CHOCÓ,1,0.3064886583114899,FALSE,FALSE
27205,CONDOTO,CHOCÓ,1,0.35736756847059986,FALSE,FALSE
95001,SAN JOSÉ DEL GUAVIARE,GUAVIARE,1,0.36896456387980836,FALSE,FALSE
27150,CARMEN DEL DARIÉN,CHOCÓ,1,0.39876686076325435,FALSE,FALSE
95025,EL RETORNO,GUAVIARE,1,0.40319750096713125,FALSE,FALSE
97511,PACOA,VAUPÉS,1,0.41007216447419476,FALSE,FALSE
27491,NÓVITA,CHOCÓ,1,0.4268997458843312,FALSE,FALSE
27135,EL CANTÓN DEL SAN PABLO,CHOCÓ,1,0.4321835970735164,FALSE,FALSE
94001,INÍRIDA,GUAINÍA,1,0.4358836526700785,FALSE,FALSE
91405,LA CHORRERA,AMAZONAS,1,0.44491642881085247,FALSE,FALSE
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,1,0.46109934641890277,FALSE,FALSE
27025,ALTO BAUDÓ,CHOCÓ,1,0.4629766115590603,FALSE,FALSE
27160,CÉRTEGUI,CHOCÓ,1,0.47851980609172157,FALSE,FALSE
19318,GUAPI,CAUCA,1,0.4901156541693508,FALSE,FALSE
99773,CUMARIBO,VICHADA,1,0.4935518660114875,FALSE,FALSE
27600,RÍO QUITO,CHOCÓ,1,0.5013113252461416,FALSE,FALSE
97001,MITÚ,VAUPÉS,1,0.5293924610764643,FALSE,FALSE
27050,ATRATO,CHOCÓ,1,0.5863603331495276,FALSE,FALSE
27413,LLORÓ,CHOCÓ,1,0.6901956295246607,FALSE,FALSE
18756,SOLANO,CAQUETÁ,1,0.7236250527837923,FALSE,FALSE
27001,QUIBDÓ,CHOCÓ,1,0.7397241138391956,FALSE,FALSE
27430,MEDIO BAUDÓ,CHOCÓ,1,0.7556250105561988,FALSE,FALSE
27361,ISTMINA,CHOCÓ,1,0.8728384336955493,TRUE,FALSE
