COD_DANE,NOMBRE_MPI,DPTO_CNMBR,tratado,ps,fuera_soporte,ps_extremo
25793,TAUSA,CUNDINAMARCA,1,0.003689773081974328,FALSE,TRUE
08001,BARRANQUILLA,ATLÁNTICO,1,0.00606214197819857,FALSE,TRUE
23672,SAN ANTERO,CÓRDOBA,1,0.007738461974334447,FALSE,TRUE
15236,CHIVOR,BOYACÁ,1,0.008189770174162125,FALSE,TRUE
73043,ANZOÁTEGUI,TOLIMA,1,0.015394978763407148,FALSE,FALSE
05679,SANTA BÁRBARA,ANTIOQUIA,1,0.018183977522865567,FALSE,FALSE
05364,JARDÍN,ANTIOQUIA,1,0.02428997784256406,FALSE,FALSE
68464,MOGOTES,SANTANDER,1,0.0341716405692099,FALSE,FALSE
05079,BARBOSA,ANTIOQUIA,1,0.03645832113862908,FALSE,FALSE
50124,CABUYARO,META,1,0.036836900180813134,FALSE,FALSE
47189,CIÉNAGA,MAGDALENA,1,0.0462707175597891,FALSE,FALSE
99624,SANTA ROSALÍA,VICHADA,1,0.048551433615285126,FALSE,FALSE
66682,SANTA ROSA DE CABAL,RISARALDA,1,0.04863852041734194,FALSE,FALSE
41668,SAN AGUSTÍN,HUILA,1,0.05136665489345498,FALSE,FALSE
20570,PUEBLO BELLO,CESAR,1,0.052990105584810474,FALSE,FALSE
47551,PIVIJAY,MAGDALENA,1,0.05654219887845585,FALSE,FALSE
05034,ANDES,ANTIOQUIA,1,0.06072383528519547,FALSE,FALSE
05670,SAN ROQUE,ANTIOQUIA,1,0.08730661132641584,FALSE,FALSE
05134,CAMPAMENTO,ANTIOQUIA,1,0.0891766645051322,FALSE,FALSE
50689,SAN MARTÍN,META,1,0.08981154598242316,FALSE,FALSE
05858,VEGACHÍ,ANTIOQUIA,1,0.09312895759575454,FALSE,FALSE
99001,PUERTO CARREÑO,VICHADA,1,0.10145286516832115,FALSE,FALSE
52490,OLAYA HERRERA,NARIÑO,1,0.10360724547766494,FALSE,FALSE
05756,SONSÓN,ANTIOQUIA,1,0.11844460444381473,FALSE,FALSE
99524,LA PRIMAVERA,VICHADA,1,0.1278373663249443,FALSE,FALSE
50573,PUERTO LÓPEZ,META,1,0.12952774653066182,FALSE,FALSE
05579,PUERTO BERRÍO,ANTIOQUIA,1,0.1652327961593663,FALSE,FALSE
50590,PUERTO RICO,META,1,0.1689130429165206,FALSE,FALSE
91669,PUERTO SANTANDER,AMAZONAS,1,0.1884003452494607,FALSE,FALSE
05893,YONDÓ,ANTIOQUIA,1,0.20523873466192358,FALSE,FALSE
27800,UNGUÍA,CHOCÓ,1,0.215917374272099,FALSE,FALSE
