COD_DANE,G,dosis_bosque,NOMBRE_MPI,att_relativo,att_hectareas,en_contdid
52835,2013,0.1714534355958712,SAN ANDRÉS DE TUMACO,0.004601508489491368,-876.2650652376512,TRUE
99773,2013,0.2731316530667749,CUMARIBO,0.9441597085395605,2214.6199347623483,TRUE
05480,2013,0.3567265926436835,MUTATÁ,-0.694965756873969,-477.6100652376515,TRUE
27077,2013,0.4792428351414157,BAJO BAUDÓ,-0.3128024835487737,-122.72506523765139,TRUE
76109,2013,1,BUENAVENTURA,-0.30596460008378423,-221.56006523765143,TRUE
41668,2014,0.0075723968614413,SAN AGUSTÍN,0.34483799936915405,-7.479631873252572,TRUE
15236,2014,0.1144448238359166,CHIVOR,-0.8635208234214065,-111.08463187325256,TRUE
27430,2014,0.3534774824413577,MEDIO BAUDÓ,-1.2554481390664525,-219.80463187325256,TRUE
27150,2014,0.3687730876259005,CARMEN DEL DARIÉN,1.6143517087689347,618.9353681267473,TRUE
27495,2014,1,NUQUÍ,-1.1502124156227072,-127.86963187325256,TRUE
23672,2015,0.8323839878827441,SAN ANTERO,-0.21050417751381867,-63.913685927306624,FALSE
05134,2016,0.3758971355954433,CAMPAMENTO,-0.3043718584668468,-99.732329916123,FALSE
27001,2016,1,QUIBDÓ,0.0555937374933444,-50.48732991612302,FALSE
91405,2016,1,LA CHORRERA,0.47606012968212985,125.23767008387705,FALSE
94001,2017,6.737438553613e-4,INÍRIDA,-1.2685939751500737,-964.8748322460392,TRUE
19318,2017,0.3702575754541257,GUAPI,0.4559144456283838,64.51516775396085,TRUE
97161,2017,0.4635518034538595,CARURÚ,-0.035128315459056265,-38.774832246039125,TRUE
18150,2018,0.175695303870134,CARTAGENA DEL CHAIRÁ,0.1323090025129503,-6008.7659552656105,TRUE
27025,2018,0.4834860753110777,ALTO BAUDÓ,0.6526247112631439,74.37904473438957,TRUE
27800,2018,0.6584161691042516,UNGUÍA,0.4415530718303675,-34.68595526561049,TRUE
97001,2018,0.8244344804996215,MITÚ,0.46190456799759705,-447.29095526561036,TRUE
50590,2019,0.3015594430678377,PUERTO RICO,-1.2454850533023694,-2180.808494874185,TRUE
27615,2019,0.523512734639997,RIOSUCIO,0.4039807708684815,228.55150512581537,TRUE
27205,2019,1,CONDOTO,1.3261623495572683,102.28150512581547,TRUE
27600,2019,1,RÍO QUITO,0.954332055550519,81.25150512581548,TRUE
